"TRANS","LOGDATE"
"3207","2020-09-15"
"3686","2020-09-16"
"5782","2020-09-17"
"3880","2020-09-18"
"3120","2020-09-19"
"2916","2020-09-20"
"935","2020-09-21"
"7456","2020-09-22"
"7014","2020-09-23"
"13194","2020-09-24"
"12025","2020-09-25"
"11909","2020-09-26"
"11876","2020-09-27"
"11521","2020-09-28"
"12864","2020-09-29"
"4300","2020-09-30"
"178","2020-10-01"
"4982","2020-10-02"
"23071","2020-10-03"
"22948","2020-10-04"
"21652","2020-10-05"
"3627","2020-10-06"
"15625","2020-10-07"
"19535","2020-10-08"

