"TRANSACTIONS","DATE","USER"
"2545","2020-09-15","acaprims"
"20","2020-09-15","cmautph "
"3","2020-09-15","ezvicba "
"15","2020-09-15","fideagpr"
"4","2020-09-15","gcnonprd"
"87","2020-09-15","v1fdila "
"485","2020-09-15","zjyosha "
"40","2020-09-15","zrvnsht "
"8","2020-09-15","zvxxdee "
"3117","2020-09-16","acaprims"
"23","2020-09-16","cmautph "
"1","2020-09-16","efryhuw "
"1","2020-09-16","eitscpri"
"1","2020-09-16","ezvicba "
"2","2020-09-16","gcaprimd"
"9","2020-09-16","gcnonprd"
"4","2020-09-16","gsmdspsw"
"245","2020-09-16","v1fdila "
"224","2020-09-16","zjyosha "
"1","2020-09-16","zponshe "
"15","2020-09-16","zrvnsht "
"13","2020-09-16","V2PDRW  "
"7","2020-09-16","XBMSRHA "
"23","2020-09-16","XNARTVL "
"6","2020-09-17","acaadm  "
"2990","2020-09-17","acaprims"
"44","2020-09-17","cddauto "
"9","2020-09-17","cmautph "
"16","2020-09-17","efryhuw "
"5","2020-09-17","eitscpri"
"1","2020-09-17","ezvicba "
"29","2020-09-17","fideagpr"
"6","2020-09-17","gcaprimd"
"3","2020-09-17","gcatest1"
"19","2020-09-17","gcnonprd"
"459","2020-09-17","v1fdila "
"1993","2020-09-17","zjyosha "
"91","2020-09-17","zrmspvn "
"80","2020-09-17","zrvnsht "
"9","2020-09-17","V2PDRW  "
"22","2020-09-17","XNARTVL "
"2","2020-09-18","acaprim "
"3052","2020-09-18","acaprims"
"6","2020-09-18","cddauto "
"1","2020-09-18","edsola  "
"1","2020-09-18","eitscpri"
"2","2020-09-18","gcaprimd"
"5","2020-09-18","gcnonprd"
"2","2020-09-18","gitcaadm"
"2","2020-09-18","gsmdspsw"
"359","2020-09-18","v1fdila "
"304","2020-09-18","zjyosha "
"2","2020-09-18","zponshe "
"5","2020-09-18","zrmspvn "
"101","2020-09-18","zrvnsht "
"9","2020-09-18","V2PDRW  "
"27","2020-09-18","XNARTVL "
"3033","2020-09-19","acaprims"
"3","2020-09-19","gcnonprd"
"4","2020-09-19","v1fdila "
"78","2020-09-19","XBMSRHA "
"2","2020-09-19","XSHVISH "
"2916","2020-09-20","acaprims"
"6","2020-09-21","acaadm  "
"11","2020-09-21","acaprim "
"592","2020-09-21","acaprims"
"10","2020-09-21","cddauto "
"16","2020-09-21","cmautph "
"28","2020-09-21","gcaprimd"
"8","2020-09-21","gcatest1"
"1","2020-09-21","gcnonprd"
"1","2020-09-21","gitcaadm"
"201","2020-09-21","v1fdila "
"42","2020-09-21","zrvnsht "
"9","2020-09-21","V2PDRW  "
"10","2020-09-21","XNARTVL "
"7139","2020-09-22","acaprims"
"8","2020-09-22","cddauto "
"18","2020-09-22","cmautph "
"10","2020-09-22","edsola  "
"16","2020-09-22","gcaprimd"
"8","2020-09-22","gcatest1"
"17","2020-09-22","gcnonprd"
"183","2020-09-22","v1fdila "
"5","2020-09-22","zjyosha "
"26","2020-09-22","zponshe "
"17","2020-09-22","zrvnsht "
"9","2020-09-22","V2PDRW  "
"2","2020-09-23","acaadm  "
"6638","2020-09-23","acaprims"
"11","2020-09-23","cmautph "
"24","2020-09-23","edsola  "
"3","2020-09-23","eitscpri"
"14","2020-09-23","fideagpr"
"10","2020-09-23","gcaprimd"
"3","2020-09-23","gcatest1"
"13","2020-09-23","gcnonprd"
"3","2020-09-23","gitcaadm"
"263","2020-09-23","v1fdila "
"6","2020-09-23","zjyosha "
"9","2020-09-23","V2PDRW  "
"15","2020-09-23","XNARTVL "
"12355","2020-09-24","acaprims"
"32","2020-09-24","efryhuw "
"2","2020-09-24","eitscpri"
"9","2020-09-24","fideagpr"
"16","2020-09-24","gcaprimd"
"8","2020-09-24","gcatest1"
"4","2020-09-24","gcnonprd"
"560","2020-09-24","v1fdila "
"110","2020-09-24","zjyosha "
"25","2020-09-24","zrvnsht "
"9","2020-09-24","V2PDRW  "
"64","2020-09-24","XNARTVL "
"11765","2020-09-25","acaprims"
"24","2020-09-25","edsola  "
"12","2020-09-25","efryhuw "
"5","2020-09-25","eitscpri"
"7","2020-09-25","ezvicba "
"3","2020-09-25","fideagpr"
"8","2020-09-25","gcaprimd"
"2","2020-09-25","gcatest1"
"12","2020-09-25","gcnonprd"
"2","2020-09-25","gitcaadm"
"86","2020-09-25","v1fdila "
"42","2020-09-25","zjyosha "
"36","2020-09-25","zrvnsht "
"10","2020-09-25","V2PDRW  "
"8","2020-09-25","XBALATH "
"3","2020-09-25","XNARTVL "
"11905","2020-09-26","acaprims"
"4","2020-09-26","v1fdila "
"11876","2020-09-27","acaprims"
"11429","2020-09-28","acaprims"
"1","2020-09-28","cddauto "
"28","2020-09-28","edleank "
"23","2020-09-28","edsola  "
"7","2020-09-28","efryhuw "
"2","2020-09-28","eitscpri"
"12","2020-09-28","v1fdila "
"9","2020-09-28","zrvnsht "
"10","2020-09-28","V2PDRW  "
"10750","2020-09-29","acaprims"
"8","2020-09-29","edleank "
"7","2020-09-29","efryhuw "
"17","2020-09-29","eitscpri"
"4","2020-09-29","fideagpr"
"7","2020-09-29","gcnonprd"
"19","2020-09-29","v1fdila "
"616","2020-09-29","zjyosha "
"2","2020-09-29","zrvnsht "
"1357","2020-09-29","zvxxdee "
"10","2020-09-29","V2PDRW  "
"8","2020-09-29","XNARTVL "
"59","2020-09-29","XSHVISH "
"1","2020-09-30","acaadm  "
"2853","2020-09-30","acaprims"
"6","2020-09-30","eitscpri"
"5","2020-09-30","gcnonprd"
"634","2020-09-30","v1fdila "
"748","2020-09-30","zjyosha "
"17","2020-09-30","zrvnsht "
"10","2020-09-30","V2PDRW  "
"26","2020-09-30","XNARTVL "
"9","2020-10-01","edleank "
"1","2020-10-01","edsola  "
"2","2020-10-01","eitscpri"
"10","2020-10-01","eswarku "
"4","2020-10-01","gcaprimd"
"1","2020-10-01","gcatest1"
"10","2020-10-01","gcnonprd"
"29","2020-10-01","v1fdila "
"2","2020-10-01","xtomsta "
"4","2020-10-01","zjyosha "
"7","2020-10-01","zrvnsht "
"99","2020-10-01","XNARTVL "
"4878","2020-10-02","acaprims"
"14","2020-10-02","cddauto "
"27","2020-10-02","edleank "
"10","2020-10-02","gcaprimd"
"4","2020-10-02","gcaprims"
"6","2020-10-02","gcatest1"
"1","2020-10-02","gitcaadm"
"17","2020-10-02","v1fdila "
"10","2020-10-02","V2PDRW  "
"15","2020-10-02","XNARTVL "
"23050","2020-10-03","acaprims"
