Date,User,Trans/calls
01-05-2020,ADPAURE ,212
01-05-2020,ADPAUTO ,256
01-05-2020,BAZAAR  ,221045
01-05-2020,CIFLASH ,2
01-05-2020,EBETABE ,1440
01-05-2020,ECHUNLA ,11
01-05-2020,EEDAUMI ,1
01-05-2020,EEUTSSN ,1
01-05-2020,EFRYHUW ,1722
01-05-2020,EJORLOF ,862
01-05-2020,EMMGWCI ,4
01-05-2020,EMWRRSQ ,786
01-05-2020,ENVCOMP ,72
01-05-2020,ESWBAPP ,83741
01-05-2020,ETKERP  ,1
01-05-2020,GWSCM1  ,45
01-05-2020,PDMPRIM ,1
01-05-2020,RBSG2CA ,2809
01-05-2020,RCSCI1  ,7484
01-05-2020,RMSUSEP ,81
01-05-2020,SUPERCM ,22932
01-05-2020,U1PDSRV ,161
01-05-2020,V1DPRO  ,732
01-05-2020,V1GSMCM ,2166
01-05-2020,V1PISAP ,9
01-05-2020,V2PDRW  ,1468
02-05-2020,BAZAAR  ,246200
02-05-2020,CIFLASH ,2
02-05-2020,EBETABE ,1439
02-05-2020,ECHUNLA ,2
02-05-2020,EFRYHUW ,1728
02-05-2020,EJORLOF ,863
02-05-2020,EMRIDOM ,15
02-05-2020,EMWRRSQ ,577
02-05-2020,ENVCOMP ,72
02-05-2020,ESWBAPP ,22476
02-05-2020,GWSCM1  ,33
02-05-2020,PDMPRIM ,1
02-05-2020,RBSG2CA ,1265
02-05-2020,RMSUSEP ,7
02-05-2020,SUPERCM ,22135
02-05-2020,U1PDSRV ,148
02-05-2020,V1DPRO  ,720
02-05-2020,V1GSMCM ,2162
02-05-2020,V2PDRW  ,1440
03-05-2020,BAZAAR  ,229711
03-05-2020,EBETABE ,1440
03-05-2020,ECHUNLA ,5
03-05-2020,EFRYHUW ,1727
03-05-2020,EJORLOF ,864
03-05-2020,EMWRRSQ ,583
03-05-2020,ENVCOMP ,72
03-05-2020,ESWBAPP ,51875
03-05-2020,GWSCM1  ,21
03-05-2020,PDMPRIM ,2
03-05-2020,RBSG2CA ,4177
03-05-2020,RCSCI1  ,436
03-05-2020,RMSUSEP ,132
03-05-2020,SUPERCM ,22105
03-05-2020,U1PDSRV ,175
03-05-2020,V1DPRO  ,720
03-05-2020,V1GSMCM ,2162
03-05-2020,V2PDRW  ,1440
03-05-2020,XSEEVIN ,1
04-05-2020,ADPAUTO ,255
04-05-2020,ADPTSEC ,114
04-05-2020,BAZAAR  ,194853
04-05-2020,BCATJOB ,51
04-05-2020,CIFLASH ,6
04-05-2020,EBETABE ,1439
04-05-2020,ECHUNLA ,5
04-05-2020,EEDAUMI ,142
04-05-2020,EEUTSSN ,197
04-05-2020,EEVEKIK ,50
04-05-2020,EFRYHUW ,1722
04-05-2020,EGEOCRI ,257
04-05-2020,EIDNLAI ,7
04-05-2020,EIRNKDR ,306
04-05-2020,EJORLOF ,864
04-05-2020,EMMGWCI ,4
04-05-2020,EMRIDOM ,10
04-05-2020,EMWRRSQ ,644
04-05-2020,ENCKHLN ,10
04-05-2020,ENISANN ,16
04-05-2020,ENVCOMP ,72
04-05-2020,EPKHAGO ,16
04-05-2020,EPKPASA ,339
04-05-2020,EPVDANA ,365
04-05-2020,ERACOSM ,6
04-05-2020,ERLICAC ,286
04-05-2020,ESWBAPP ,54385
04-05-2020,ESZBALZ ,21
04-05-2020,ETKERP  ,3
04-05-2020,ETKTEBE ,1
04-05-2020,EUMBFOR ,2
04-05-2020,EVIOLST ,36
04-05-2020,EZANTNI ,88
04-05-2020,EZMANIR ,160
04-05-2020,GWSCM1  ,60
04-05-2020,IXGLOYS ,1
04-05-2020,PDMPRIM ,30
04-05-2020,RBSG2CA ,4057
04-05-2020,RCSCI1  ,5015
04-05-2020,RMSUSEP ,85
04-05-2020,ROTPRIM ,11
04-05-2020,SGSNINFR,20
04-05-2020,SUPERCM ,22036
04-05-2020,U1PDSRV ,419
04-05-2020,V1DPRO  ,732
04-05-2020,V1GSMCM ,2219
04-05-2020,V1PISAP ,48
04-05-2020,V1PRIMPP,33
04-05-2020,V2PDRW  ,1468
04-05-2020,XSEEVIN ,1
04-05-2020,XSRKAND ,10136
05-05-2020,ADPAUTO ,130
05-05-2020,ADPKIBA ,119
05-05-2020,BAZAAR  ,192595
05-05-2020,BCATJOB ,86
05-05-2020,CIFLASH ,39
05-05-2020,EBETABE ,1440
05-05-2020,ECHUNLA ,19
05-05-2020,EEICMNA ,6
05-05-2020,EEUTSSN ,221
