"REQUESTID","RECORDTYPE"
"EELITIM2020-09-11-08.48.04.526587 ","output.head                                                                                         "
"EELITIM2020-09-11-08.48.04.526587 ","CompareAndPrepare.input.head                                                                        "
"EELITIM2020-09-11-08.48.04.526587 ","CompareAndPrepareContract.input.row                                                                 "
"EELITIM2020-09-11-08.48.04.526587 ","CompareAndPrepareContract.output.row                                                                "
"EELITIM2020-09-11-08.48.04.526587 ","CompareAndPreparePartnerProdInfo.input.row                                                          "
"EELITIM2020-09-11-08.48.04.526587 ","CompareAndPreparePartnerProdInfo.output.row                                                         "
"EELITIM2020-09-11-08.48.04.526587 ","CompareAndPrepareProductPrice.input.row                                                             "
"EELITIM2020-09-11-08.48.04.526587 ","CompareAndPrepareProductPrice.output.row                                                            "
"EELITIM2020-09-11-08.48.04.526587 ","CompareAndPrepareSupplyGroup.input.row                                                              "
"EELITIM2020-09-11-08.48.04.526587 ","CompareAndPrepareSupplyGroup.output.row                                                             "
"EELITIM2020-09-11-09.11.59.819152 ","output.head                                                                                         "
"EELITIM2020-09-11-09.11.59.819152 ","CompareAndPrepare.input.head                                                                        "
"EELITIM2020-09-11-09.11.59.819152 ","CompareAndPrepareContract.input.row                                                                 "
"EELITIM2020-09-11-09.11.59.819152 ","CompareAndPrepareContract.output.row                                                                "
"EELITIM2020-09-11-09.11.59.819152 ","CompareAndPreparePartnerProdInfo.input.row                                                          "
"EELITIM2020-09-11-09.11.59.819152 ","CompareAndPreparePartnerProdInfo.output.row                                                         "
"EELITIM2020-09-11-09.11.59.819152 ","CompareAndPrepareProductPrice.input.row                                                             "
"EELITIM2020-09-11-09.11.59.819152 ","CompareAndPrepareProductPrice.output.row                                                            "
"EELITIM2020-09-11-09.11.59.819152 ","CompareAndPrepareSupplyGroup.input.row                                                              "
"EELITIM2020-09-11-09.11.59.819152 ","CompareAndPrepareSupplyGroup.output.row                                                             "
"EELITIM2020-09-11-09.18.18.638384 ","output.head                                                                                         "
"EELITIM2020-09-11-09.18.18.638384 ","output.row                                                                                          "
"EELITIM2020-09-11-09.18.18.638384 ","FetchMissingProducts.input.head                                                                     "
"EMRIDOM_2020-09-10 16:21:21.704.90","output.head                                                                                         "
"EMRIDOM_2020-09-10 16:21:21.704.90","output.row                                                                                          "
"EMRIDOM_2020-09-10 16:21:21.704.90","readAll.input.row                                                                                   "
"EMRIDOM_2020-09-11 05:21:00.99.64 ","output.head                                                                                         "
"EMRIDOM_2020-09-11 05:21:00.99.64 ","output.row                                                                                          "
"EMRIDOM_2020-09-11 05:21:00.99.64 ","readAll.input.row                                                                                   "
"ESWBAPP_2020-09-09 21:43:21.495.73","output.head                                                                                         "
"ESWBAPP_2020-09-09 21:43:21.495.73","retrieveProductBasic.input.row                                                                      "
"ESWBAPP_2020-09-09 21:43:21.495.73","retrieveProductBasic.output.row                                                                     "
"ESWBAPP_2020-09-09 21:43:21.495.73","retrieveProductData.input.row                                                                       "
"ESWBAPP_2020-09-09 21:43:21.495.73","retrieveProductRstate.output.row                                                                    "
"ESWBAPP_2020-09-09 22:15:08.182.79","output.head                                                                                         "
"ESWBAPP_2020-09-09 22:15:08.182.79","retrieveProductBasic.input.row                                                                      "
