Deadlock/Timeout,Date,Comments,CUD Calls ,,,
30,01-09-2020,, ,,,
173,02-09-2020,, ,,,
136,03-09-2020,,,,,
31,04-09-2020,,,,,
0,05-09-2020,Saturday,,,,
0,06-09-2020,Sunday,27391,(Sum of calls from 1-6th Sep),,
5,08-09-2020,,,,,
59,09-09-2020,,,,,
29,10-09-2020,,,,,
6,11-09-2020,,,,,
0,12-09-2020,Saturday,,,,
0,13-09-2020,Sunday,29891,(Sum of calls from 8-13th Sep),,
10,14-09-2020,,,,,
36,15-09-2020,,,,,
47,16-09-2020,,,,,
28,17-09-2020,,,,,
26,18-09-2020,Saturday (Release),,,,
4,19-09-2020,Sunday,26701,(Sum of calls from 14-19th Sep),,
0,20-09-2020,, ,,,
17,21-09-2020,, ,,,
10,23-09-2020,, ,,, 
75,24-09-2020,,,,,
11,25-09-2020,,,,,
1,26-09-2020,,,,,
2,27-09-2020,,26852,(Sum of calls from 20-27th Sep),,
12,28-09-2020,,,,,
9,29-09-2020,,,,,
22,30-09-2020,,,,,
12,01-10-2020,,,,,
7,02-10-2020,,,,,
0,03-10-2020,,,,,
0,04-10-2020,,25656,,,
6,05-10-2020,, ,,,
22,06-10-2020,, ,,,
28,07-10-2020,, ,,,
34,08-10-2020,, ,,,
17,09-10-2020,, ,,,
2,10-10-2020,, ,,,
19,11-10-2020,,27008,,,
16,12-10-2020,,3401,,,
26,13-10-2020,,3612,,,
13,14-10-2020,,2745,,,
