"TRANSACTIONS","DATE","USER"
"2545","2020-09-15","acaprims"
"3117","2020-09-16","acaprims"
"2990","2020-09-17","acaprims"
"3052","2020-09-18","acaprims"
"3033","2020-09-19","acaprims"
"2916","2020-09-20","acaprims"
"592","2020-09-21","acaprims"
"7139","2020-09-22","acaprims"
"6638","2020-09-23","acaprims"
"12355","2020-09-24","acaprims"
"11765","2020-09-25","acaprims"
"11905","2020-09-26","acaprims"
"11876","2020-09-27","acaprims"
"11429","2020-09-28","acaprims"
"10750","2020-09-29","acaprims"
"2853","2020-09-30","acaprims"
"4878","2020-10-02","acaprims"
"23050","2020-10-03","acaprims"
"22929","2020-10-04","acaprims"
"21510","2020-10-05","acaprims"
"3317","2020-10-06","acaprims"
"15062","2020-10-07","acaprims"
"23063","2020-10-08","acaprims"

